bigram,count,probability
то,11720,0.017543
на,8921,0.013353
он,8670,0.012977
ст,8355,0.012506
ал,8280,0.012394
не,8091,0.012111
но,7893,0.011814
ов,7659,0.011464
ен,6893,0.010318
го,6639,0.009937
по,6579,0.009848
от,6411,0.009596
ко,6397,0.009575
ос,6347,0.009500
ни,6305,0.009437
ка,6176,0.009244
ла,6171,0.009237
во,5855,0.008764
ро,5434,0.008134
ло,5391,0.008069
ра,5313,0.007953
ел,5047,0.007554
ан,5022,0.007517
ть,5017,0.007510
пр,5013,0.007504
ор,4741,0.007096
ол,4714,0.007056
ин,4620,0.006915
ли,4431,0.006632
ле,4427,0.006626
ер,4427,0.006626
ес,4377,0.006552
ом,4367,0.006537
ва,4341,0.006498
за,4309,0.006450
ак,4305,0.006444
ет,4304,0.006442
ас,4184,0.006263
ск,4167,0.006237
те,4125,0.006174
ем,4110,0.006152
од,4099,0.006135
ат,4064,0.006083
ре,4038,0.006044
ог,4037,0.006043
та,3950,0.005912
ав,3891,0.005824
ил,3874,0.005799
ит,3781,0.005659
ви,3744,0.005604
аз,3717,0.005564
об,3702,0.005541
де,3670,0.005493
ив,3609,0.005402
чт,3608,0.005401
ри,3589,0.005372
се,3585,0.005366
ве,3492,0.005227
да,3443,0.005154
бы,3375,0.005052
ев,3351,0.005016
ег,3291,0.004926
же,3289,0.004923
вс,3260,0.004880
ти,3243,0.004854
ис,3022,0.004523
до,3008,0.004502
мо,2967,0.004441
нн,2738,0.004098
ль,2714,0.004062
че,2692,0.004029
ед,2685,0.004019
им,2607,0.003902
ое,2586,0.003871
ми,2529,0.003785
ся,2447,0.003663
еп,2444,0.003658
ки,2435,0.003645
ме,2427,0.003633
ад,2414,0.003613
му,2389,0.003576
тв,2374,0.003553
ой,2309,0.003456
сь,2301,0.003444
ам,2293,0.003432
оп,2286,0.003422
ны,2279,0.003411
ие,2273,0.003402
эт,2256,0.003377
оч,2227,0.003333
ая,2174,0.003254
ну,2156,0.003227
ар,2122,0.003176
сл,2115,0.003166
ее,2113,0.003163
ыл,2094,0.003134
ок,2092,0.003131
ек,2088,0.003125
ма,2080,0.003113
ей,2058,0.003080
тр,2007,0.003004
ик,2002,0.002997
оо,2001,0.002995
со,1963,0.002938
хо,1936,0.002898
ид,1923,0.002878
вы,1920,0.002874
ож,1904,0.002850
ич,1899,0.002842
ру,1821,0.002726
ше,1809,0.002708
еб,1776,0.002658
ян,1763,0.002639
ьн,1752,0.002622
ча,1741,0.002606
из,1729,0.002588
ди,1657,0.002480
ап,1653,0.002474
бе,1636,0.002449
зн,1628,0.002437
св,1624,0.002431
пе,1606,0.002404
бо,1602,0.002398
яс,1577,0.002360
ьс,1573,0.002355
ои,1563,0.002340
ип,1559,0.002334
лс,1533,0.002295
ия,1505,0.002253
са,1505,0.002253
ду,1504,0.002251
сп,1497,0.002241
мн,1492,0.002233
уж,1487,0.002226
ьк,1475,0.002208
ез,1463,0.002190
уд,1427,0.002136
ае,1425,0.002133
ао,1425,0.002133
ят,1417,0.002121
ля,1412,0.002114
ня,1389,0.002079
ио,1364,0.002042
ув,1338,0.002003
вн,1308,0.001958
дн,1289,0.001929
нс,1270,0.001901
ии,1252,0.001874
ео,1233,0.001846
оз,1231,0.001843
гл,1218,0.001823
ку,1214,0.001817
ты,1210,0.001811
ши,1206,0.001805
ус,1205,0.001804
тн,1197,0.001792
жи,1192,0.001784
кр,1189,0.001780
др,1167,0.001747
их,1167,0.001747
ач,1161,0.001738
еи,1126,0.001685
аи,1124,0.001682
жа,1114,0.001667
лу,1111,0.001663
еч,1107,0.001657
ут,1103,0.001651
ум,1100,0.001647
ош,1092,0.001635
сн,1077,0.001612
ыв,1061,0.001588
кс,1059,0.001585
чи,1047,0.001567
аб,1045,0.001564
си,1039,0.001555
ий,1037,0.001552
уч,1035,0.001549
ул,1028,0.001539
ще,1027,0.001537
ым,1020,0.001527
ьи,996,0.001491
аж,987,0.001477
гд,987,0.001477
кн,986,0.001476
яв,980,0.001467
ту,978,0.001464
ье,972,0.001455
ый,968,0.001449
вр,964,0.001443
тс,964,0.001443
нь,960,0.001437
ук,958,0.001434
па,944,0.001413
ры,938,0.001404
йс,926,0.001386
ыс,909,0.001361
уг,894,0.001338
иб,889,0.001331
вш,874,0.001308
еж,873,0.001307
бр,867,0.001298
еш,853,0.001277
уп,839,0.001256
ял,823,0.001232
бу,812,0.001215
ех,810,0.001212
ые,802,0.001200
жн,801,0.001199
лю,796,0.001191
яд,794,0.001188
ьв,793,0.001187
аг,779,0.001166
оя,779,0.001166
ун,776,0.001162
чу,769,0.001151
яи,766,0.001147
лы,755,0.001130
см,749,0.001121
ир,746,0.001117
ах,745,0.001115
ую,745,0.001115
мы,738,0.001105
рь,722,0.001081
ша,720,0.001078
нд,718,0.001075
яп,715,0.001070
ря,702,0.001051
ха,694,0.001039
ба,694,0.001039
лн,684,0.001024
зв,681,0.001019
ых,677,0.001013
иц,677,0.001013
ьо,675,0.001010
ыт,675,0.001010
ою,672,0.001006
дь,668,0.001000
йн,657,0.000983
ын,657,0.000983
аю,656,0.000982
дв,653,0.000977
дл,652,0.000976
вл,647,0.000968
ьп,632,0.000946
сс,630,0.000943
мс,630,0.000943
ву,630,0.000943
би,628,0.000940
га,624,0.000934
зд,622,0.000931
ги,617,0.000924
иг,617,0.000924
пи,609,0.000912
бл,607,0.000909
яо,607,0.000909
лв,598,0.000895
жд,593,0.000888
аш,586,0.000877
уш,585,0.000876
рн,579,0.000867
як,579,0.000867
ья,577,0.000864
ыб,569,0.000852
юб,563,0.000843
уб,562,0.000841
гр,558,0.000835
тк,557,0.000834
вп,555,0.000831
лк,544,0.000814
йи,535,0.000801
щи,533,0.000798
мп,521,0.000780
вд,520,0.000778
оу,513,0.000768
ур,502,0.000751
вз,501,0.000750
це,499,0.000747
ещ,498,0.000745
нп,497,0.000744
уи,497,0.000744
нт,495,0.000741
су,494,0.000739
рк,488,0.000730
ям,488,0.000730
еу,480,0.000718
тя,479,0.000717
йп,476,0.000712
йд,475,0.000711
ьч,475,0.000711
яз,472,0.000707
гу,470,0.000704
вк,466,0.000698
вт,465,0.000696
кт,459,0.000687
ея,456,0.000683
йв,452,0.000677
мв,450,0.000674
ке,447,0.000669
зг,446,0.000668
ьт,445,0.000666
иу,443,0.000663
нв,437,0.000654
лл,436,0.000653
лч,435,0.000651
чн,434,0.000650
ох,429,0.000642
шл,428,0.000641
ьм,423,0.000633
ды,412,0.000617
ай,411,0.000615
яг,411,0.000615
бя,410,0.000614
пу,409,0.000612
ып,407,0.000609
лп,406,0.000608
мя,399,0.000597
кв,398,0.000596
шь,393,0.000588
йт,390,0.000584
яж,388,0.000581
иш,384,0.000575
нк,383,0.000573
зя,383,0.000573
ау,382,0.000572
иж,382,0.000572
рт,382,0.000572
ца,380,0.000569
пл,377,0.000564
уо,376,0.000563
ьш,376,0.000563
мк,374,0.000560
яч,374,0.000560
сд,372,0.000557
сч,368,0.000551
йк,367,0.000549
юс,366,0.000548
оэ,361,0.000540
ею,354,0.000530
ьз,352,0.000527
нч,349,0.000522
яе,348,0.000521
мч,348,0.000521
лж,343,0.000513
ыш,341,0.000510
тч,340,0.000509
йо,337,0.000504
дс,335,0.000501
уз,335,0.000501
яб,334,0.000500
аа,331,0.000495
ьд,331,0.000495
кл,324,0.000485
уе,321,0.000480
юд,314,0.000470
ью,312,0.000467
дя,310,0.000464
зо,306,0.000458
ют,305,0.000457
рд,296,0.000443
пя,292,0.000437
рг,291,0.000436
аэ,290,0.000434
ьб,287,0.000430
чк,286,0.000428
ык,285,0.000427
ыи,285,0.000427
тл,284,0.000425
шн,282,0.000422
ыр,281,0.000421
йа,281,0.000421
тп,281,0.000421
зм,279,0.000418
ух,277,0.000415
ющ,273,0.000409
зи,269,0.000403
вм,269,0.000403
лт,267,0.000400
шк,266,0.000398
ыд,266,0.000398
ге,265,0.000397
зы,263,0.000394
мд,259,0.000388
бн,259,0.000388
нб,259,0.000388
мт,258,0.000386
хс,257,0.000385
кб,257,0.000385
хи,253,0.000379
еэ,251,0.000376
рв,250,0.000374
шу,248,0.000371
сы,248,0.000371
хн,248,0.000371
рж,245,0.000367
тд,242,0.000362
фи,241,0.000361
вя,237,0.000355
йч,237,0.000355
юо,234,0.000350
ях,233,0.000349
кп,231,0.000346
еа,226,0.000338
иа,226,0.000338
хв,226,0.000338
цо,224,0.000335
юн,223,0.000334
зу,223,0.000334
юи,221,0.000331
йм,221,0.000331
яр,219,0.000328
ыч,218,0.000326
ща,218,0.000326
шо,216,0.000323
кк,214,0.000320
яа,214,0.000320
тб,213,0.000319
жу,213,0.000319
дк,212,0.000317
вв,211,0.000316
вэ,211,0.000316
пы,211,0.000316
тт,210,0.000314
ьэ,209,0.000313
иэ,207,0.000310
мр,206,0.000308
хп,205,0.000307
мб,204,0.000305
вг,204,0.000305
аф,203,0.000304
зе,202,0.000302
рб,201,0.000301
ыо,200,0.000299
лг,200,0.000299
яя,200,0.000299
рс,200,0.000299
оа,197,0.000295
юп,197,0.000295
юв,195,0.000292
ьу,195,0.000292
ию,194,0.000290
нц,190,0.000284
йр,189,0.000283
йл,187,0.000280
дт,186,0.000278
мл,185,0.000277
мм,184,0.000275
ьр,180,0.000269
зр,179,0.000268
йб,179,0.000268
ащ,178,0.000266
бк,177,0.000265
вч,176,0.000263
яу,176,0.000263
гн,176,0.000263
ыз,174,0.000260
ху,174,0.000260
юк,174,0.000260
лд,173,0.000259
ьг,173,0.000259
рш,170,0.000254
бщ,170,0.000254
юч,169,0.000253
мг,167,0.000250
ящ,167,0.000250
йг,162,0.000242
ьл,162,0.000242
хл,160,0.000239
нз,160,0.000239
зл,158,0.000236
кд,157,0.000235
нр,156,0.000234
сж,154,0.000231
цу,151,0.000226
дц,150,0.000225
ущ,150,0.000225
уя,149,0.000223
лб,149,0.000223
ср,147,0.000220
оф,146,0.000219
зб,146,0.000219
вь,146,0.000219
чш,144,0.000216
зк,143,0.000214
кж,142,0.000213
ыг,141,0.000211
зь,140,0.000210
чь,137,0.000205
ец,136,0.000204
км,135,0.000202
хк,132,0.000198
ищ,132,0.000198
кч,131,0.000196
юр,131,0.000196
уа,130,0.000195
яэ,129,0.000193
ощ,128,0.000192
мз,127,0.000190
нг,125,0.000187
зс,125,0.000187
йз,125,0.000187
хм,124,0.000186
вб,121,0.000181
сб,119,0.000178
йу,119,0.000178
ню,118,0.000177
цы,118,0.000177
лм,118,0.000177
ци,117,0.000175
мж,115,0.000172
хд,114,0.000171
сх,114,0.000171
йж,111,0.000166
ьа,111,0.000166
дп,110,0.000165
тм,109,0.000163
зж,108,0.000162
лр,107,0.000160
рп,106,0.000159
сю,105,0.000157
ац,105,0.000157
фр,104,0.000156
зп,104,0.000156
нщ,102,0.000153
нм,102,0.000153
гк,100,0.000150
лэ,100,0.000150
яй,99,0.000148
чв,98,0.000147
фе,96,0.000144
лз,96,0.000144
рм,94,0.000141
цк,93,0.000139
бь,91,0.000136
рх,91,0.000136
рю,90,0.000135
тэ,90,0.000135
хр,90,0.000135
жс,89,0.000133
кэ,88,0.000132
хб,87,0.000130
уй,86,0.000129
юж,86,0.000129
чп,85,0.000127
юм,85,0.000127
дш,83,0.000124
жк,83,0.000124
юл,82,0.000123
юе,81,0.000121
щу,81,0.000121
бв,80,0.000120
чо,80,0.000120
оц,78,0.000117
яю,78,0.000117
гс,78,0.000117
кя,78,0.000117
ьц,78,0.000117
гп,77,0.000115
йе,76,0.000114
шв,75,0.000112
тз,75,0.000112
юу,73,0.000109
уу,73,0.000109
юг,72,0.000108
ыж,72,0.000108
ьж,71,0.000106
дм,71,0.000106
бэ,70,0.000105
мх,70,0.000105
йш,69,0.000103
кз,69,0.000103
рч,69,0.000103
хт,68,0.000102
вх,68,0.000102
чс,67,0.000100
сг,66,0.000099
хе,66,0.000099
ьх,65,0.000097
кг,65,0.000097
фо,64,0.000096
нх,64,0.000096
ыу,64,0.000096
юз,64,0.000096
зч,64,0.000096
юа,64,0.000096
зт,63,0.000094
зз,62,0.000093
тц,62,0.000093
яш,62,0.000093
тж,61,0.000091
сз,61,0.000091
уэ,59,0.000088
кх,59,0.000088
гв,58,0.000087
йх,58,0.000087
чр,58,0.000087
нл,58,0.000087
бс,57,0.000085
пк,56,0.000084
дх,54,0.000081
фа,54,0.000081
сш,54,0.000081
дд,54,0.000081
мш,53,0.000079
шт,53,0.000079
дб,51,0.000076
дч,50,0.000075
ыа,49,0.000073
йц,49,0.000073
бм,48,0.000072
пн,48,0.000072
юэ,48,0.000072
мь,47,0.000070
нж,46,0.000069
тг,45,0.000067
хч,44,0.000066
гч,44,0.000066
мэ,44,0.000066
жб,43,0.000064
нэ,43,0.000064
яц,43,0.000064
хг,43,0.000064
йэ,42,0.000063
юш,42,0.000063
бх,42,0.000063
иф,42,0.000063
хз,42,0.000063
юя,42,0.000063
цв,42,0.000063
пт,42,0.000063
ыя,41,0.000061
сэ,40,0.000060
фь,40,0.000060
вж,40,0.000060
тх,40,0.000060
рл,37,0.000055
жо,37,0.000055
ыэ,37,0.000055
еф,36,0.000054
жь,36,0.000054
сц,36,0.000054
хж,35,0.000052
чл,35,0.000052
йя,34,0.000051
вц,34,0.000051
жч,34,0.000051
тю,33,0.000049
уф,32,0.000048
юю,31,0.000046
юх,31,0.000046
лш,29,0.000043
чд,29,0.000043
зэ,29,0.000043
гб,29,0.000043
пч,29,0.000043
бд,27,0.000040
тф,27,0.000040
пь,26,0.000039
кш,25,0.000037
рр,25,0.000037
эк,25,0.000037
лх,24,0.000036
эл,24,0.000036
рз,24,0.000036
хя,24,0.000036
юф,24,0.000036
рщ,23,0.000034
дз,23,0.000034
дэ,22,0.000033
жт,22,0.000033
жп,21,0.000031
чз,21,0.000031
пп,21,0.000031
щн,21,0.000031
эн,21,0.000031
хэ,20,0.000030
фу,19,0.000028
дж,18,0.000027
чб,18,0.000027
рц,18,0.000027
йф,18,0.000027
жв,18,0.000027
яф,18,0.000027
фл,17,0.000025
лф,17,0.000025
тщ,17,0.000025
чм,17,0.000025
цс,17,0.000025
хш,17,0.000025
гт,16,0.000024
дг,16,0.000024
ьф,16,0.000024
щь,16,0.000024
юц,16,0.000024
ьщ,16,0.000024
гз,15,0.000022
мц,14,0.000021
фт,14,0.000021
чя,14,0.000021
нш,13,0.000019
цп,13,0.000019
нф,13,0.000019
жя,13,0.000019
жж,13,0.000019
шп,12,0.000018
хх,12,0.000018
цн,12,0.000018
мф,12,0.000018
вф,12,0.000018
чч,11,0.000016
кц,10,0.000015
лц,10,0.000015
сф,10,0.000015
гж,10,0.000015
ыф,9,0.000013
гм,9,0.000013
жм,9,0.000013
цц,9,0.000013
фс,9,0.000013
пш,9,0.000013
бт,9,0.000013
йщ,8,0.000012
пс,8,0.000012
зц,8,0.000012
дю,8,0.000012
хф,8,0.000012
зш,8,0.000012
чх,8,0.000012
гг,8,0.000012
тш,8,0.000012
гэ,8,0.000012
рф,8,0.000012
бч,7,0.000010
уц,7,0.000010
пц,7,0.000010
хц,7,0.000010
