bigram,count,probability
о_,19607,0.024414
е_,15189,0.018913
а_,15017,0.018698
и_,14651,0.018243
_н,13451,0.016748
_с,13000,0.016187
_в,11823,0.014721
то,11454,0.014262
_п,11254,0.014013
_о,11163,0.013900
я_,8932,0.011122
_и,8861,0.011033
на,8707,0.010841
ь_,8493,0.010575
ст,8149,0.010147
не,7932,0.009876
ал,7790,0.009700
но,7691,0.009576
_к,7304,0.009095
го,6683,0.008321
он,6635,0.008262
_т,6596,0.008213
по,6546,0.008151
ла,6128,0.007630
ко,6125,0.007627
ка,6105,0.007602
ни,6020,0.007496
_д,5933,0.007387
л_,5869,0.007308
ов,5780,0.007197
во,5673,0.007064
ен,5632,0.007013
й_,5576,0.006943
м_,5560,0.006923
у_,5474,0.006816
ро,5404,0.006729
_б,5377,0.006695
ра,5376,0.006694
_ч,5079,0.006324
ть,5043,0.006279
от,5017,0.006247
пр,4952,0.006166
ло,4650,0.005790
ел,4645,0.005784
ос,4565,0.005684
н_,4503,0.005607
_м,4471,0.005567
ва,4419,0.005502
за,4365,0.005435
ор,4283,0.005333
ол,4259,0.005303
_е,4231,0.005268
ли,4189,0.005216
в_,4171,0.005194
ер,4135,0.005149
ре,4108,0.005115
ле,4088,0.005090
ск,4002,0.004983
та,4000,0.004981
те,3915,0.004875
к_,3795,0.004725
ом,3764,0.004687
ог,3688,0.004592
чт,3622,0.004510
ви,3601,0.004484
се,3553,0.004424
де,3552,0.004423
ил,3527,0.004392
ри,3526,0.004390
ет,3523,0.004387
т_,3510,0.004370
_у,3423,0.004262
ан,3411,0.004247
аз,3406,0.004241
ы_,3401,0.004235
да,3389,0.004220
бы,3376,0.004204
ве,3370,0.004196
ак,3369,0.004195
од,3362,0.004186
ат,3333,0.004150
же,3332,0.004149
_з,3326,0.004141
ин,3277,0.004080
ем,3197,0.003981
ит,3060,0.003810
_р,3042,0.003788
ес,2982,0.003713
ег,2982,0.003713
ти,2957,0.003682
_л,2947,0.003669
до,2935,0.003655
ас,2840,0.003536
вс,2787,0.003470
ль,2754,0.003429
ю_,2688,0.003347
об,2648,0.003297
че,2648,0.003297
_г,2627,0.003271
_а,2569,0.003199
мо,2541,0.003164
ся,2422,0.003016
ав,2415,0.003007
с_,2387,0.002972
ой,2342,0.002916
_э,2334,0.002906
ме,2315,0.002883
эт,2296,0.002859
сь,2284,0.002844
нн,2254,0.002807
ны,2227,0.002773
му,2226,0.002772
им,2197,0.002736
ки,2180,0.002714
ив,2127,0.002648
х_,2119,0.002638
тв,2097,0.002611
ми,2048,0.002550
_ж,2042,0.002543
ыл,2035,0.002534
ев,2026,0.002523
сл,2016,0.002510
ма,2006,0.002498
ей,1997,0.002487
ое,1968,0.002450
ие,1965,0.002447
ед,1932,0.002406
ну,1930,0.002403
вы,1922,0.002393
ам,1899,0.002365
тр,1880,0.002341
ая,1872,0.002331
_я,1838,0.002289
ее,1808,0.002251
ше,1804,0.002246
со,1804,0.002246
хо,1794,0.002234
ар,1785,0.002223
ча,1750,0.002179
ад,1747,0.002175
ру,1743,0.002170
ди,1648,0.002052
бе,1646,0.002050
пе,1627,0.002026
бо,1568,0.001952
ис,1566,0.001950
зн,1547,0.001926
ож,1525,0.001899
ич,1503,0.001871
ду,1449,0.001804
св,1431,0.001782
ня,1426,0.001776
ек,1421,0.001769
са,1375,0.001712
ля,1370,0.001706
из,1369,0.001705
сп,1349,0.001680
уж,1337,0.001665
ия,1315,0.001637
оч,1299,0.001617
ок,1260,0.001569
ши,1257,0.001565
гл,1246,0.001551
ид,1240,0.001544
_х,1237,0.001540
уд,1232,0.001534
дн,1219,0.001518
ты,1203,0.001498
ик,1201,0.001495
др,1193,0.001485
жа,1155,0.001438
жи,1134,0.001412
ку,1119,0.001393
кр,1112,0.001385
еп,1100,0.001370
ий,1052,0.001310
ят,1048,0.001305
чи,1032,0.001285
ще,1024,0.001275
их,1020,0.001270
си,1012,0.001260
мн,1007,0.001254
нь,987,0.001229
еб,985,0.001226
ьк,972,0.001210
ры,965,0.001202
вн,965,0.001202
ум,957,0.001192
ез,955,0.001189
ош,952,0.001185
лу,949,0.001182
ым,937,0.001167
гд,934,0.001163
ый,927,0.001154
ул,925,0.001152
ьн,919,0.001144
аж,914,0.001138
па,911,0.001134
ув,908,0.001131
бр,908,0.001131
ту,900,0.001121
лс,879,0.001094
вш,861,0.001072
з_,847,0.001055
ут,845,0.001052
тн,841,0.001047
вр,811,0.001010
нс,807,0.001005
жн,805,0.001002
ае,795,0.000990
оп,794,0.000989
уг,785,0.000977
оз,784,0.000976
лю,781,0.000972
ыв,778,0.000969
ую,773,0.000962
бу,766,0.000954
еш,764,0.000951
лы,761,0.000948
кс,760,0.000946
чу,740,0.000921
сн,737,0.000918
рь,736,0.000916
ус,734,0.000914
д_,731,0.000910
ые,729,0.000908
мы,723,0.000900
ша,721,0.000898
еч,695,0.000865
яс,692,0.000862
ря,692,0.000862
аю,692,0.000862
дь,689,0.000858
уч,683,0.000850
см,681,0.000848
ял,680,0.000847
ьс,671,0.000835
га,663,0.000826
тс,654,0.000814
ха,652,0.000812
ою,650,0.000809
ба,650,0.000809
иц,642,0.000799
дл,639,0.000796
еж,636,0.000792
ах,635,0.000791
ех,629,0.000783
бл,618,0.000769
жд,617,0.000768
ук,615,0.000766
зв,612,0.000762
ч_,611,0.000761
зд,611,0.000761
би,607,0.000756
ыс,606,0.000755
пи,606,0.000755
уш,604,0.000752
ых,600,0.000747
вл,598,0.000745
ач,588,0.000732
дв,576,0.000717
ги,571,0.000711
ои,565,0.000704
_ш,559,0.000696
ыт,544,0.000677
гр,541,0.000674
ву,536,0.000667
г_,530,0.000660
аш,529,0.000659
р_,528,0.000657
юб,524,0.000652
щи,513,0.000639
нд,508,0.000633
ян,507,0.000631
це,501,0.000624
рн,493,0.000614
кн,484,0.000603
аг,480,0.000598
