bigram,count,probability
то,23336,0.017465
на,17949,0.013433
он,17392,0.013016
ст,16680,0.012484
ал,16238,0.012153
не,16132,0.012073
но,15898,0.011898
ов,15124,0.011319
ен,13776,0.010310
го,13406,0.010033
по,13097,0.009802
ко,12953,0.009694
ос,12691,0.009498
от,12624,0.009448
ни,12543,0.009387
ла,12524,0.009373
ка,12472,0.009334
во,11770,0.008809
ро,10889,0.008149
ло,10845,0.008117
ра,10704,0.008011
ть,10127,0.007579
ан,10076,0.007541
ел,9950,0.007447
пр,9880,0.007394
ор,9461,0.007081
ол,9368,0.007011
ин,9245,0.006919
ле,9077,0.006793
ли,8995,0.006732
ер,8965,0.006710
ес,8934,0.006686
ва,8793,0.006581
ом,8749,0.006548
за,8687,0.006501
ет,8574,0.006417
ак,8566,0.006411
ас,8434,0.006312
ск,8235,0.006163
те,8223,0.006154
ре,8214,0.006147
ем,8184,0.006125
од,8179,0.006121
та,8031,0.006010
ат,8012,0.005996
ог,7944,0.005945
ил,7691,0.005756
ав,7630,0.005710
ви,7582,0.005674
ит,7492,0.005607
аз,7375,0.005520
об,7352,0.005502
де,7269,0.005440
чт,7243,0.005421
ив,7216,0.005401
се,7179,0.005373
ри,7127,0.005334
ве,7059,0.005283
да,6817,0.005102
бы,6656,0.004981
ев,6650,0.004977
же,6579,0.004924
вс,6548,0.004901
ег,6542,0.004896
ти,6453,0.004830
ис,6094,0.004561
до,6006,0.004495
мо,5973,0.004470
ль,5538,0.004145
нн,5537,0.004144
ед,5342,0.003998
че,5316,0.003979
им,5271,0.003945
ое,5164,0.003865
ми,5036,0.003769
еп,4981,0.003728
ки,4873,0.003647
ад,4844,0.003625
ся,4826,0.003612
ме,4801,0.003593
тв,4775,0.003574
оп,4751,0.003556
му,4720,0.003533
ам,4704,0.003521
ой,4616,0.003455
ие,4609,0.003449
сь,4585,0.003431
эт,4570,0.003420
оч,4471,0.003346
ны,4453,0.003333
ая,4313,0.003228
ну,4276,0.003200
ыл,4250,0.003181
ее,4214,0.003154
ар,4204,0.003146
ок,4085,0.003057
сл,4081,0.003054
ма,4072,0.003048
ек,4062,0.003040
оо,4006,0.002998
тр,4002,0.002995
со,3991,0.002987
ей,3986,0.002983
ик,3972,0.002973
хо,3910,0.002926
ож,3874,0.002899
ич,3868,0.002895
вы,3842,0.002875
ид,3753,0.002809
ше,3638,0.002723
ру,3637,0.002722
еб,3557,0.002662
ча,3548,0.002655
ян,3518,0.002633
из,3509,0.002626
ьн,3410,0.002552
ди,3373,0.002524
бо,3331,0.002493
ап,3290,0.002462
пе,3287,0.002460
бе,3259,0.002439
св,3213,0.002405
зн,3178,0.002378
ои,3135,0.002346
яс,3112,0.002329
ип,3101,0.002321
ьс,3069,0.002297
лс,3046,0.002280
ия,3035,0.002271
сп,3016,0.002257
мн,2996,0.002242
ят,2974,0.002226
ез,2954,0.002211
ду,2939,0.002200
ьк,2927,0.002191
уж,2913,0.002180
уд,2907,0.002176
са,2884,0.002158
ня,2862,0.002142
ае,2838,0.002124
ля,2818,0.002109
ао,2775,0.002077
ув,2675,0.002002
ио,2647,0.001981
дн,2615,0.001957
вн,2592,0.001940
нс,2553,0.001911
ео,2527,0.001891
ии,2514,0.001882
ши,2475,0.001852
ус,2468,0.001847
оз,2455,0.001837
др,2438,0.001825
гл,2428,0.001817
ку,2388,0.001787
ты,2376,0.001778
тн,2361,0.001767
жи,2334,0.001747
кр,2333,0.001746
их,2295,0.001718
еч,2266,0.001696
ум,2259,0.001691
жа,2254,0.001687
ут,2206,0.001651
си,2198,0.001645
ач,2186,0.001636
кс,2178,0.001630
еи,2171,0.001625
аи,2154,0.001612
ыв,2141,0.001602
лу,2139,0.001601
ош,2130,0.001594
чи,2123,0.001589
сн,2120,0.001587
уч,2078,0.001555
ым,2074,0.001552
аж,2058,0.001540
ий,2052,0.001536
ще,2049,0.001533
аб,2045,0.001531
ул,2028,0.001518
нь,1979,0.001481
ту,1969,0.001474
яв,1968,0.001473
кн,1958,0.001465
тс,1953,0.001462
ьи,1948,0.001458
ры,1948,0.001458
гд,1942,0.001453
ье,1929,0.001444
ук,1927,0.001442
вр,1915,0.001433
йс,1894,0.001417
ый,1867,0.001397
ыс,1844,0.001380
па,1832,0.001371
иб,1824,0.001365
вш,1801,0.001348
уг,1743,0.001304
бр,1718,0.001286
уп,1694,0.001268
ял,1672,0.001251
еж,1668,0.001248
ун,1658,0.001241
ех,1657,0.001240
ые,1647,0.001233
жн,1640,0.001227
еш,1621,0.001213
бу,1619,0.001212
ьв,1608,0.001203
лю,1599,0.001197
яд,1578,0.001181
аг,1544,0.001156
чу,1542,0.001154
ах,1525,0.001141
ую,1525,0.001141
лы,1522,0.001139
яи,1508,0.001129
оя,1502,0.001124
ир,1477,0.001105
см,1476,0.001105
ша,1463,0.001095
яп,1460,0.001093
мы,1449,0.001084
ря,1422,0.001064
ыт,1409,0.001055
рь,1409,0.001055
ын,1385,0.001037
зв,1381,0.001034
ба,1374,0.001028
вл,1373,0.001028
ха,1369,0.001025
аю,1365,0.001022
дь,1353,0.001013
нд,1353,0.001013
ьо,1339,0.001002
ых,1337,0.001001
лн,1335,0.000999
иц,1326,0.000992
га,1317,0.000986
дв,1316,0.000985
ьп,1310,0.000980
ою,1297,0.000971
дл,1294,0.000968
зд,1293,0.000968
би,1282,0.000959
ги,1255,0.000939
йн,1243,0.000930
жд,1240,0.000928
иг,1237,0.000926
мс,1226,0.000918
бл,1220,0.000913
пи,1219,0.000912
сс,1212,0.000907
ву,1200,0.000898
як,1167,0.000873
яо,1158,0.000867
лв,1157,0.000866
уш,1146,0.000858
аш,1138,0.000852
юб,1130,0.000846
уб,1118,0.000837
лк,1117,0.000836
вп,1113,0.000833
рн,1111,0.000831
ья,1108,0.000829
ыб,1104,0.000826
гр,1095,0.000820
тк,1094,0.000819
йи,1054,0.000789
щи,1050,0.000786
мп,1042,0.000780
уи,1030,0.000771
вд,1028,0.000769
оу,1025,0.000767
ур,1022,0.000765
вз,1011,0.000757
нп,1008,0.000754
це,1006,0.000753
ям,1005,0.000752
рк,1003,0.000751
ещ,997,0.000746
су,986,0.000738
гу,982,0.000735
йд,979,0.000733
тя,964,0.000721
еу,961,0.000719
йп,955,0.000715
нт,954,0.000714
ке,943,0.000706
вк,940,0.000704
ьч,931,0.000697
вт,931,0.000697
яз,929,0.000695
кт,929,0.000695
мв,928,0.000695
йв,923,0.000691
лч,907,0.000679
ьт,901,0.000674
зг,892,0.000668
ея,885,0.000662
