bigram,count,probability
о_,39069,0.024323
е_,30564,0.019028
а_,30239,0.018826
и_,29249,0.018210
_н,26712,0.016630
_с,26001,0.016188
_в,23648,0.014723
то,22912,0.014264
_п,22569,0.014051
_о,21934,0.013656
я_,17968,0.011186
_и,17827,0.011099
на,17456,0.010868
ь_,17034,0.010605
ст,16285,0.010139
не,15990,0.009955
ал,15582,0.009701
но,15410,0.009594
_к,14532,0.009047
он,13486,0.008396
го,13339,0.008305
_т,13338,0.008304
по,13090,0.008149
ка,12352,0.007690
ко,12339,0.007682
ла,12332,0.007678
ни,12040,0.007496
_д,11863,0.007386
л_,11736,0.007307
ов,11590,0.007216
ен,11320,0.007048
й_,11266,0.007014
м_,11234,0.006994
во,11166,0.006952
_б,10875,0.006770
ро,10795,0.006721
у_,10774,0.006708
ра,10680,0.006649
_ч,10270,0.006394
ть,10126,0.006304
от,10090,0.006282
пр,9878,0.006150
ло,9285,0.005781
ел,9205,0.005731
ос,9204,0.005730
_м,8917,0.005551
н_,8856,0.005514
ва,8701,0.005417
за,8672,0.005399
ор,8634,0.005375
ол,8604,0.005357
_е,8577,0.005340
в_,8366,0.005208
ле,8321,0.005180
ли,8319,0.005179
ре,8193,0.005101
ер,8183,0.005095
те,7936,0.004941
та,7895,0.004915
ск,7865,0.004897
к_,7584,0.004722
ом,7581,0.004720
ви,7271,0.004527
ог,7252,0.004515
де,7223,0.004497
чт,7185,0.004473
ил,7091,0.004415
се,7081,0.004408
ет,7023,0.004372
ри,7004,0.004361
ан,6963,0.004335
т_,6936,0.004318
да,6793,0.004229
_з,6747,0.004201
аз,6743,0.004198
ы_,6738,0.004195
_у,6728,0.004189
ве,6712,0.004179
ак,6694,0.004168
бы,6656,0.004144
ат,6638,0.004133
од,6626,0.004125
же,6559,0.004083
ин,6436,0.004007
ем,6391,0.003979
_р,6090,0.003791
ит,6055,0.003770
ти,5990,0.003729
ес,5981,0.003724
ег,5939,0.003697
до,5915,0.003683
_л,5833,0.003631
ас,5597,0.003485
вс,5560,0.003462
ль,5538,0.003448
ю_,5503,0.003426
_г,5408,0.003367
об,5383,0.003351
че,5301,0.003300
мо,5045,0.003141
_а,5036,0.003135
ав,4884,0.003041
ся,4804,0.002991
_э,4690,0.002920
ме,4625,0.002879
ой,4616,0.002874
с_,4604,0.002866
сь,4585,0.002854
эт,4570,0.002845
нн,4467,0.002781
ки,4455,0.002774
ны,4453,0.002772
му,4430,0.002758
им,4413,0.002747
ив,4272,0.002660
х_,4234,0.002636
тв,4140,0.002577
ыл,4132,0.002572
ми,4132,0.002572
_ж,4082,0.002541
сл,3989,0.002483
ей,3986,0.002482
ое,3938,0.002452
ну,3932,0.002448
ев,3922,0.002442
ма,3890,0.002422
ед,3848,0.002396
тр,3843,0.002393
вы,3842,0.002392
ая,3838,0.002389
ам,3821,0.002379
ие,3768,0.002346
со,3740,0.002328
ше,3638,0.002265
_я,3612,0.002249
ар,3611,0.002248
ру,3609,0.002247
хо,3553,0.002212
ее,3532,0.002199
ча,3529,0.002197
ад,3503,0.002181
пе,3285,0.002045
ди,3254,0.002026
ис,3246,0.002021
бе,3233,0.002013
бо,3144,0.001957
зн,3061,0.001906
ож,3058,0.001904
ич,2969,0.001848
ду,2910,0.001812
св,2898,0.001804
ек,2812,0.001751
са,2797,0.001741
ня,2782,0.001732
уж,2774,0.001727
ля,2742,0.001707
сп,2705,0.001684
из,2702,0.001682
ия,2654,0.001652
оч,2541,0.001582
ид,2472,0.001539
ши,2468,0.001537
ок,2462,0.001533
_х,2457,0.001530
уд,2423,0.001508
ик,2420,0.001507
гл,2413,0.001502
дн,2410,0.001500
др,2397,0.001492
ты,2376,0.001479
жи,2302,0.001433
жа,2249,0.001400
ку,2237,0.001393
кр,2194,0.001366
еп,2183,0.001359
ят,2169,0.001350
еб,2093,0.001303
си,2063,0.001284
ий,2051,0.001277
ще,2049,0.001276
чи,2044,0.001273
их,2040,0.001270
мн,2018,0.001256
ош,2003,0.001247
вн,1996,0.001243
нь,1979,0.001232
ры,1948,0.001213
ьк,1922,0.001197
ум,1901,0.001184
лу,1880,0.001170
ый,1867,0.001162
гд,1863,0.001160
ез,1850,0.001152
ым,1847,0.001150
ьн,1834,0.001142
па,1829,0.001139
ул,1828,0.001138
ту,1823,0.001135
ув,1805,0.001124
аж,1792,0.001116
лс,1775,0.001105
вш,1731,0.001078
бр,1717,0.001069
оп,1715,0.001068
з_,1700,0.001058
ут,1678,0.001045
тн,1664,0.001036
вр,1657,0.001032
нс,1615,0.001005
лю,1599,0.000995
жн,1581,0.000984
уг,1576,0.000981
ае,1573,0.000979
оз,1569,0.000977
бу,1558,0.000970
ыв,1538,0.000958
ус,1531,0.000953
д_,1530,0.000953
ую,1524,0.000949
лы,1522,0.000948
кс,1511,0.000941
еш,1510,0.000940
сн,1495,0.000931
чу,1487,0.000926
ые,1476,0.000919
ша,1461,0.000910
мы,1449,0.000902
рь,1409,0.000877
ря,1408,0.000877
еч,1389,0.000865
уч,1378,0.000858
яс,1371,0.000854
аю,1359,0.000846
дь,1353,0.000842
ба,1351,0.000841
ьс,1331,0.000829
ял,1313,0.000817
ах,1312,0.000817
см,1311,0.000816
тс,1305,0.000812
га,1303,0.000811
ха,1300,0.000809
ою,1292,0.000804
еж,1283,0.000799
иц,1270,0.000791
дл,1263,0.000786
зв,1255,0.000781
ех,1252,0.000779
ч_,1243,0.000774
ых,1239,0.000771
ач,1224,0.000762
би,1221,0.000760
бл,1216,0.000757
жд,1215,0.000756
дв,1215,0.000756
ук,1215,0.000756
пи,1207,0.000751
вл,1207,0.000751
зд,1193,0.000743
ги,1188,0.000740
ыс,1177,0.000733
ои,1137,0.000708
ыт,1127,0.000702
_ш,1120,0.000697
уш,1119,0.000697
гр,1070,0.000666
ву,1064,0.000662
г_,1055,0.000657
щи,1050,0.000654
ян,1032,0.000642
р_,1023,0.000637
аш,1022,0.000636
нд,1020,0.000635
юб,1008,0.000628
рн,1007,0.000627
це,998,0.000621
ещ,979,0.000609
кн,976,0.000608
ье,971,0.000605
гу,949,0.000591
аб,933,0.000581
аг,933,0.000581
рк,911,0.000567
ап,909,0.000566
уп,881,0.000548
вз,872,0.000543
сс,870,0.000542
яд,867,0.000540
шл,864,0.000538
ии,858,0.000534
зг,848,0.000528
тя,843,0.000525
ай,840,0.000523
ур,828,0.000515
ья,825,0.000514
бя,821,0.000511
уб,811,0.000505
ды,810,0.000504
шь,795,0.000495
пу,789,0.000491
су,788,0.000491
ир,787,0.000490
ке,783,0.000487
оя,773,0.000481
ыб,766,0.000477
зя,766,0.000477
йс,763,0.000475
чн,760,0.000473
тк,752,0.000468
ца,744,0.000463
пл,714,0.000445
рт,713,0.000444
сч,675,0.000420
ыш,672,0.000418
ьи,664,0.000413
ьш,660,0.000411
ею,658,0.000410
иг,644,0.000401
дя,641,0.000399
нт,637,0.000397
ью,628,0.000391
иш,625,0.000389
_ф,613,0.000382
б_,612,0.000381
лж,611,0.000380
мя,611,0.000380
иб,601,0.000374
кт,587,0.000365
шн,583,0.000363
зы,571,0.000355
ея,561,0.000349
рг,561,0.000349
шк,553,0.000344
рд,553,0.000344
зо,545,0.000339
пя,542,0.000337
ющ,526,0.000327
ын,525,0.000327
сы,521,0.000324
ох,520,0.000324
сд,520,0.000324
ге,516,0.000321
вд,510,0.000318
кл,501,0.000312
дс,498,0.000310
иж,497,0.000309
ям,495,0.000308
чк,491,0.000306
яз,482,0.000300
бн,480,0.000299
зи,467,0.000291
яж,466,0.000290
рв,466,0.000290
рж,465,0.000289
лн,463,0.000288
