symbol,count,probability
о,154105,0.115334
е,117352,0.087828
а,111173,0.083203
н,92646,0.069337
и,88213,0.066020
т,80084,0.059936
с,70523,0.052780
л,67540,0.050548
в,62889,0.047067
р,52638,0.039395
к,45849,0.034314
д,39781,0.029773
м,38343,0.028696
у,36460,0.027287
п,32259,0.024143
я,29028,0.021725
ь,27179,0.020341
ы,24778,0.018544
г,24306,0.018191
б,23525,0.017606
ч,22820,0.017079
з,21911,0.016398
ж,15352,0.011490
й,13750,0.010291
ш,11631,0.008705
х,10235,0.007660
ю,8417,0.006299
э,4765,0.003566
щ,3797,0.002842
ц,3469,0.002596
ф,1346,0.001007
