symbol,count,probability
_,270074,0.168141
о,154105,0.095942
е,117352,0.073060
а,111173,0.069213
н,92646,0.057679
и,88213,0.054919
т,80084,0.049858
с,70523,0.043906
л,67540,0.042049
в,62889,0.039153
р,52638,0.032771
к,45849,0.028544
д,39781,0.024767
м,38343,0.023871
у,36460,0.022699
п,32259,0.020084
я,29028,0.018072
ь,27179,0.016921
ы,24778,0.015426
г,24306,0.015132
б,23525,0.014646
ч,22820,0.014207
з,21911,0.013641
ж,15352,0.009558
й,13750,0.008560
ш,11631,0.007241
х,10235,0.006372
ю,8417,0.005240
э,4765,0.002967
щ,3797,0.002364
ц,3469,0.002160
ф,1346,0.000838
